"rules","support","confidence","lift"
"{honey} => {whole milk}",0.00111845449923742,0.733333333333333,2.87000928505107
"{liquor,red/blush wine} => {bottled beer}",0.00193187595322827,0.904761904761905,11.2352693602694
"{curd,cereals} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331
"{root vegetables,cereals} => {whole milk}",0.00101677681748856,0.769230769230769,3.01049925005357
"{yogurt,cereals} => {whole milk}",0.00172852058973055,0.80952380952381,3.16819206791352
"{butter,jam} => {whole milk}",0.00101677681748856,0.833333333333333,3.26137418755803
"{other vegetables,jam} => {whole milk}",0.00132180986273513,0.722222222222222,2.82652429588363
"{whipped/sour cream,instant coffee} => {other vegetables}",0.00101677681748856,0.769230769230769,3.97550426452161
"{soups,bottled beer} => {whole milk}",0.00111845449923742,0.916666666666667,3.58751160631383
"{pip fruit,soups} => {other vegetables}",0.00101677681748856,0.714285714285714,3.69153967419863
"{root vegetables,soups} => {other vegetables}",0.00122013218098627,0.705882352941177,3.64810979567865
"{root vegetables,dog food} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{yogurt,Instant food products} => {whole milk}",0.00111845449923742,0.785714285714286,3.075009948269
"{whipped/sour cream,specialty cheese} => {other vegetables}",0.00101677681748856,0.714285714285714,3.69153967419863
"{citrus fruit,specialty cheese} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{yogurt,specialty cheese} => {whole milk}",0.00203355363497712,0.714285714285714,2.79546358933546
"{napkins,house keeping products} => {whole milk}",0.00132180986273513,0.8125,3.17983983286908
"{whipped/sour cream,house keeping products} => {whole milk}",0.00122013218098627,0.923076923076923,3.61259910006428
"{root vegetables,house keeping products} => {whole milk}",0.00132180986273513,0.764705882352941,2.99279043093561
"{pastry,sweet spreads} => {whole milk}",0.00101677681748856,0.909090909090909,3.55786275006331
"{turkey,curd} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247
"{turkey,whipped/sour cream} => {other vegetables}",0.00101677681748856,0.769230769230769,3.97550426452161
"{turkey,bottled water} => {whole milk}",0.00122013218098627,0.75,2.93523676880223
"{turkey,root vegetables} => {other vegetables}",0.00193187595322827,0.76,3.92779821334735
"{rice,sugar} => {whole milk}",0.00122013218098627,1,3.91364902506964
"{frozen vegetables,rice} => {other vegetables}",0.00111845449923742,0.785714285714286,4.0606936416185
"{frozen vegetables,rice} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{butter,rice} => {whole milk}",0.00152516522623284,0.833333333333333,3.26137418755803
"{domestic eggs,rice} => {whole milk}",0.00111845449923742,0.846153846153846,3.31154917505892
"{pip fruit,rice} => {whole milk}",0.00111845449923742,0.785714285714286,3.075009948269
"{rice,bottled water} => {whole milk}",0.00122013218098627,0.923076923076923,3.61259910006428
"{tropical fruit,rice} => {whole milk}",0.00152516522623284,0.789473684210526,3.08972291452866
"{root vegetables,rice} => {other vegetables}",0.00223690899847483,0.709677419354839,3.6677232892038
"{root vegetables,rice} => {whole milk}",0.00244026436197255,0.774193548387097,3.02992182586036
"{yogurt,rice} => {other vegetables}",0.00193187595322827,0.826086956521739,4.2693458840732
"{yogurt,rice} => {whole milk}",0.00183019827147941,0.782608695652174,3.06285575875015
"{spread cheese,newspapers} => {rolls/buns}",0.00122013218098627,0.75,4.07752902155887
"{pip fruit,salt} => {whole milk}",0.00111845449923742,0.733333333333333,2.87000928505107
"{citrus fruit,salt} => {whole milk}",0.00111845449923742,0.733333333333333,2.87000928505107
"{curd,frozen dessert} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{pip fruit,canned vegetables} => {other vegetables}",0.00122013218098627,0.705882352941177,3.64810979567865
"{roll products ,sugar} => {whole milk}",0.00101677681748856,0.769230769230769,3.01049925005357
"{butter,roll products } => {whole milk}",0.00111845449923742,0.785714285714286,3.075009948269
"{rolls/buns,roll products } => {whole milk}",0.00152516522623284,0.714285714285714,2.79546358933546
"{frozen fish,domestic eggs} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{tropical fruit,cake bar} => {whole milk}",0.00142348754448399,0.736842105263158,2.88374138689342
"{butter,dishes} => {whole milk}",0.00111845449923742,0.733333333333333,2.87000928505107
"{pastry,dishes} => {other vegetables}",0.00122013218098627,0.705882352941177,3.64810979567865
"{oil,mustard} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255
"{mustard,bottled water} => {whole milk}",0.00152516522623284,0.75,2.93523676880223
"{butter,pot plants} => {whole milk}",0.00101677681748856,0.714285714285714,2.79546358933546
"{canned fish,hygiene articles} => {whole milk}",0.00111845449923742,1,3.91364902506964
"{frozen vegetables,canned fish} => {other vegetables}",0.00111845449923742,0.733333333333333,3.78998073217726
"{herbs,curd} => {whole milk}",0.00183019827147941,0.75,2.93523676880223
"{herbs,brown bread} => {other vegetables}",0.00111845449923742,0.733333333333333,3.78998073217726
"{herbs,domestic eggs} => {whole milk}",0.00152516522623284,0.714285714285714,2.79546358933546
"{herbs,fruit/vegetable juice} => {other vegetables}",0.00122013218098627,0.8,4.13452443510247
"{herbs,fruit/vegetable juice} => {whole milk}",0.00111845449923742,0.733333333333333,2.87000928505107
"{pip fruit,herbs} => {other vegetables}",0.00172852058973055,0.708333333333333,3.66077684358031
"{citrus fruit,herbs} => {other vegetables}",0.00213523131672598,0.724137931034483,3.74245746280827
"{herbs,shopping bags} => {other vegetables}",0.00193187595322827,0.826086956521739,4.2693458840732
"{tropical fruit,herbs} => {whole milk}",0.00233858668022369,0.821428571428571,3.21478312773577
"{herbs,rolls/buns} => {whole milk}",0.00244026436197255,0.8,3.13091922005571
"{processed cheese,chocolate} => {whole milk}",0.00101677681748856,0.769230769230769,3.01049925005357
"{processed cheese,frozen vegetables} => {whole milk}",0.00142348754448399,0.777777777777778,3.04394924172083
"{processed cheese,napkins} => {whole milk}",0.00122013218098627,0.75,2.93523676880223
"{whipped/sour cream,processed cheese} => {other vegetables}",0.00142348754448399,0.736842105263158,3.80811461127859
"{pork,semi-finished bread} => {other vegetables}",0.00142348754448399,0.777777777777778,4.0196765341274
"{chicken,beverages} => {other vegetables}",0.00101677681748856,0.714285714285714,3.69153967419863
"{whipped/sour cream,detergent} => {whole milk}",0.00152516522623284,0.789473684210526,3.08972291452866
"{pickled vegetables,long life bakery product} => {whole milk}",0.00122013218098627,0.75,2.93523676880223
"{pickled vegetables,chocolate} => {whole milk}",0.00122013218098627,0.857142857142857,3.35455630720255
"{hard cheese,baking powder} => {whole milk}",0.00101677681748856,0.769230769230769,3.01049925005357
"{beef,baking powder} => {other vegetables}",0.00111845449923742,0.733333333333333,3.78998073217726
"{pork,baking powder} => {whole milk}",0.00132180986273513,0.764705882352941,2.99279043093561
"{root vegetables,baking powder} => {other vegetables}",0.0025419420437214,0.714285714285714,3.69153967419863
"{yogurt,baking powder} => {whole milk}",0.0032536858159634,0.711111111111111,2.78303930671619
"{flour,oil} => {whole milk}",0.00132180986273513,0.722222222222222,2.82652429588363
"{soft cheese,sliced cheese} => {whole milk}",0.00132180986273513,0.722222222222222,2.82652429588363
"{onions,soft cheese} => {other vegetables}",0.00132180986273513,0.764705882352941,3.95211894531854
"{soft cheese,cream cheese } => {whole milk}",0.00142348754448399,0.7,2.73955431754875
"{soft cheese,frozen vegetables} => {other vegetables}",0.0016268429079817,0.727272727272727,3.75865857736588
"{butter,soft cheese} => {whole milk}",0.00203355363497712,0.740740740740741,2.89899927782936
"{whipped/sour cream,soft cheese} => {other vegetables}",0.00223690899847483,0.733333333333333,3.78998073217726
"{root vegetables,soft cheese} => {other vegetables}",0.00244026436197255,0.727272727272727,3.75865857736588
"{domestic eggs,specialty bar} => {other vegetables}",0.00111845449923742,0.733333333333333,3.78998073217726
"{coffee,misc. beverages} => {soda}",0.00101677681748856,0.769230769230769,4.41130298273155
"{curd,misc. beverages} => {whole milk}",0.00142348754448399,0.736842105263158,2.88374138689342
"{grapes,frozen meals} => {other vegetables}",0.00101677681748856,0.769230769230769,3.97550426452161
"{grapes,onions} => {other vegetables}",0.00111845449923742,0.916666666666667,4.73747591522158
"{chicken,grapes} => {whole milk}",0.00122013218098627,0.705882352941177,2.7625757824021
"{grapes,curd} => {other vegetables}",0.00142348754448399,0.7,3.61770888071466
"{pork,grapes} => {other vegetables}",0.0016268429079817,0.727272727272727,3.75865857736588
"{curd,cat food} => {whole milk}",0.00172852058973055,0.739130434782609,2.89269710548625
"{butter,cat food} => {whole milk}",0.00172852058973055,0.708333333333333,2.77216805942433
"{meat,sliced cheese} => {other vegetables}",0.00111845449923742,0.733333333333333,3.78998073217726
"{meat,margarine} => {other vegetables}",0.00172852058973055,0.85,4.39293221229637
